brazil,congo_forest,day,month,year,brz.veg.index
6310,890,15b,2,2006,0.631
6900,760,15a,3,2006,0.69
5980,820,15b,3,2006,0.598
3620,950,15a,4,2006,0.362
3632,850,15b,4,2006,0.3632
3910,920,15a,5,2006,0.391
3570,860,15b,5,2006,0.357
3302,920,15a,6,2006,0.3302
3772,860,15b,6,2006,0.3772
6460,750,15a,7,2006,0.646
5372,720,15b,7,2006,0.5372
7270,640,15a,8,2006,0.727
8230,720,15b,8,2006,0.823
6402,640,15a,9,2006,0.6402
8160,590,15b,9,2006,0.816
8250,640,15a,10,2006,0.825
8170,620,15b,10,2006,0.817
3242,590,15a,11,2006,0.3242
8120,520,15b,11,2006,0.812
8400,590,15a,12,2006,0.84
7840,610,15b,12,2006,0.784
7162,710,15a,1,2007,0.7162
7500,920,15b,1,2007,0.75
5934,720,15a,2,2007,0.5934
4152,850,15b,2,2007,0.4152
3710,850,15a,3,2007,0.371
3970,860,15b,3,2007,0.397
6110,900,15a,4,2007,0.611
5090,880,15b,4,2007,0.509
6260,790,15a,5,2007,0.626
4880,870,15b,5,2007,0.488
7270,920,15a,6,2007,0.727
5032,1030,15b,6,2007,0.5032
6860,940,15a,7,2007,0.686
8440,840,15b,7,2007,0.844
7420,720,15a,8,2007,0.742
7400,710,15b,8,2007,0.74
7570,730,15a,9,2007,0.757
8420,670,15b,9,2007,0.842
8280,640,15a,10,2007,0.828
8200,660,15b,10,2007,0.82
7800,580,15a,11,2007,0.78
8000,460,15b,11,2007,0.8
3122,590,15a,12,2007,0.3122
7830,610,15b,12,2007,0.783
8130,700,15a,1,2008,0.813
6870,610,15b,1,2008,0.687
5570,860,15a,2,2008,0.557
3922,800,15b,2,2008,0.3922
4560,920,15a,3,2008,0.456
4580,960,15b,3,2008,0.458
4740,840,15a,4,2008,0.474
4640,890,15b,4,2008,0.464
5740,940,15a,5,2008,0.574
6010,740,15b,5,2008,0.601
6640,850,15a,6,2008,0.664
6520,850,15b,6,2008,0.652
6990,830,15a,7,2008,0.699
7320,920,15b,7,2008,0.732
7800,620,15a,8,2008,0.78
7072,720,15b,8,2008,0.7072
7780,610,15a,9,2008,0.778
8170,650,15b,9,2008,0.817
8270,590,15a,10,2008,0.827
8150,610,15b,10,2008,0.815
8070,650,15a,11,2008,0.807
8110,640,15b,11,2008,0.811
8030,500,15a,12,2008,0.803
6442,490,15b,12,2008,0.6442
8370,680,15a,1,2009,0.837
7530,710,15b,1,2009,0.753
6390,820,15a,2,2009,0.639
6630,830,15b,2,2009,0.663
6190,820,15a,3,2009,0.619
4040,860,15b,3,2009,0.404
5270,940,15a,4,2009,0.527
5970,900,15b,4,2009,0.597
3180,910,15a,5,2009,0.318
2650,930,15b,5,2009,0.265
4740,1000,15a,6,2009,0.474
5180,920,15b,6,2009,0.518
6980,930,15a,7,2009,0.698
8370,960,15b,7,2009,0.837
7560,1020,15a,8,2009,0.756
8250,1020,15b,8,2009,0.825
9130,680,15a,9,2009,0.913
8150,780,15b,9,2009,0.815
8310,760,15a,10,2009,0.831
8330,940,15b,10,2009,0.833
8530,930,15a,11,2009,0.853
8670,780,15b,11,2009,0.867
8710,710,15a,12,2009,0.871
7112,820,15b,12,2009,0.7112
8960,710,15a,1,2010,0.896
7800,820,15b,1,2010,0.78
6410,820,15a,2,2010,0.641
4300,880,15b,2,2010,0.43
3990,770,15a,3,2010,0.399
5390,760,15b,3,2010,0.539
4350,920,15a,4,2010,0.435
2630,910,15b,4,2010,0.263
2940,870,15a,5,2010,0.294
6160,840,15b,5,2010,0.616
6390,790,15a,6,2010,0.639
6310,890,15b,6,2010,0.631
7170,930,15a,7,2010,0.717
7280,850,15b,7,2010,0.728
6670,950,15a,8,2010,0.667
4012,1030,15b,8,2010,0.4012
7670,890,15a,9,2010,0.767
7402,730,15b,9,2010,0.7402
9020,820,15a,10,2010,0.902
6232,890,15b,10,2010,0.6232
7250,620,15a,11,2010,0.725
8310,750,15b,11,2010,0.831
6862,750,15a,12,2010,0.6862
8480,820,15b,12,2010,0.848
9410,740,15a,1,2011,0.941
8530,770,15b,1,2011,0.853
6800,850,15a,2,2011,0.68
5510,820,15b,2,2011,0.551
5370,850,15a,3,2011,0.537
5190,900,15b,3,2011,0.519
4390,920,15a,4,2011,0.439
4850,890,15b,4,2011,0.485
7030,910,15a,5,2011,0.703
7202,910,15b,5,2011,0.7202
7230,970,15a,6,2011,0.723
6250,930,15b,6,2011,0.625
6400,910,15a,7,2011,0.64
7350,860,15b,7,2011,0.735
8130,810,15a,8,2011,0.813
8490,790,15b,8,2011,0.849
7812,910,15a,9,2011,0.7812
8800,850,15b,9,2011,0.88
8490,870,15a,10,2011,0.849
8110,880,15b,10,2011,0.811
7702,900,15a,11,2011,0.7702
8560,850,15b,11,2011,0.856
8240,830,15a,12,2011,0.824
8262,800,15b,12,2011,0.8262
